Term,CourseID,Subject,MaxUnits,TotalCapacity,EnrlTotal,TotalSections
2185,100352,AMERSTD,4,50,34,1
2168,100353,AMERSTD,4,42,41,1
2172,100353,AMERSTD,4,31,38,2
2178,100353,AMERSTD,4,33,28,2
2182,100353,AMERSTD,4,133,118,4
2172,100355,AMERSTD,4,30,16,1
2178,100355,AMERSTD,4,5,6,1
2182,100355,AMERSTD,4,30,0,1
2175,100448,AMERSTD,1,44,0,1
2175,100463,AMERSTD,1,45,0,1
2175,100466,AMERSTD,1,45,0,1
2175,100467,AMERSTD,1,45,0,1
2175,100468,AMERSTD,1,45,0,1
2168,100473,AMERSTD,4,12,12,2
2172,100473,AMERSTD,4,45,2,3
2178,100473,AMERSTD,4,12,0,2
2182,100473,AMERSTD,4,45,1,3
2168,100474,AMERSTD,4,40,15,3
2172,100474,AMERSTD,4,67,56,3
2178,100474,AMERSTD,4,40,26,2
2182,100474,AMERSTD,4,61,51,3
2168,100475,AMERSTD,4,27,0,1
2178,100475,AMERSTD,4,27,0,1
2168,100476,AMERSTD,4,55,18,3
2172,100476,AMERSTD,4,30,2,3
2175,100476,AMERSTD,4,30,0,3
2178,100476,AMERSTD,4,65,9,4
2182,100476,AMERSTD,4,40,2,4
2185,100476,AMERSTD,4,30,1,3
2178,100477,AMERSTD,1,18,16,1
2168,100480,AMERSTD,2,999,1,1
2178,100480,AMERSTD,2,199,0,2
2182,100480,AMERSTD,2,10,4,1
2168,100509,AMERSTD,4,0,0,1
2178,100509,AMERSTD,4,0,0,1
2168,100510,AMERSTD,4,0,0,1
2178,100510,AMERSTD,4,0,0,1
2168,100512,AMERSTD,4,15,9,1
2172,100512,AMERSTD,4,28,20,2
2178,100512,AMERSTD,4,23,7,2
2182,100512,AMERSTD,4,32,9,2
2168,100513,AMERSTD,4,15,1,1
2172,100513,AMERSTD,4,20,12,1
2178,100513,AMERSTD,4,20,5,1
2182,100513,AMERSTD,4,20,16,1
2168,100543,ANTHRO,4,170,167,1
2172,100543,ANTHRO,4,272,271,1
2175,100543,ANTHRO,4,60,22,1
2178,100543,ANTHRO,4,0,0,1
2182,100543,ANTHRO,4,272,272,1
2185,100543,ANTHRO,4,60,15,1
2172,100551,ANTHRO,4,40,0,1
2175,100551,ANTHRO,4,40,0,1
2182,100551,ANTHRO,4,40,0,1
2168,100553,ANTHRO,4,137,134,1
2178,100553,ANTHRO,4,120,119,1
2172,100563,ANTHRO,4,82,79,1
2175,100563,ANTHRO,4,50,45,1
2182,100563,ANTHRO,4,47,46,1
2185,100563,ANTHRO,4,40,19,1
2168,100564,ANTHRO,4,180,94,1
2175,100564,ANTHRO,4,45,19,1
2178,100564,ANTHRO,4,0,0,1
2182,100564,ANTHRO,4,124,124,1
2185,100564,ANTHRO,4,0,0,1
2168,100567,ANTHRO,4,60,54,1
2175,100567,ANTHRO,4,36,23,1
2178,100567,ANTHRO,4,60,0,1
2182,100567,ANTHRO,4,51,35,1
2185,100567,ANTHRO,4,36,0,1
2168,100571,ANTHRO,4,82,42,2
2172,100571,ANTHRO,4,35,31,1
2175,100571,ANTHRO,4,30,0,1
2178,100571,ANTHRO,4,40,0,1
2182,100571,ANTHRO,4,35,0,1
2172,100577,ANTHRO,4,102,79,1
2175,100577,ANTHRO,4,45,10,1
2182,100577,ANTHRO,4,0,0,1
2185,100577,ANTHRO,4,45,0,1
2168,100579,ANTHRO,4,20,20,1
2175,100579,ANTHRO,4,18,0,1
2178,100579,ANTHRO,4,15,15,1
2168,100581,ANTHRO,4,45,43,1
2178,100581,ANTHRO,4,45,0,1
2185,100582,ANTHRO,4,30,11,1
2185,100583,ANTHRO,4,30,23,1
2172,100585,ANTHRO,4,72,23,1
2182,100585,ANTHRO,4,72,0,1
2172,100589,ANTHRO,4,35,0,1
2182,100589,ANTHRO,4,81,76,1
2178,100595,ANTHRO,4,41,41,1
2168,100603,ANTHRO,4,18,16,1
2178,100603,ANTHRO,4,20,20,1
2172,100604,ANTHRO,4,15,10,1
2182,100604,ANTHRO,4,15,0,1
2168,100605,ANTHRO,4,69,0,2
2172,100605,ANTHRO,4,75,48,2
2178,100605,ANTHRO,4,30,29,1
2182,100605,ANTHRO,4,92,73,2
2175,100608,ANTHRO,4,30,0,1
2182,100611,ANTHRO,4,35,15,1
2168,100619,ANTHRO,4,18,0,1
2172,100619,ANTHRO,4,18,17,1
2178,100619,ANTHRO,4,18,0,1
2182,100619,ANTHRO,4,18,17,1
2175,100620,ANTHRO,6,25,22,1
2185,100620,ANTHRO,6,25,18,1
2168,100622,ANTHRO,4,19,18,1
2178,100622,ANTHRO,4,0,0,1
2168,100625,ANTHRO,4,15,0,1
2178,100625,ANTHRO,4,36,36,1
2178,100626,ANTHRO,4,0,0,1
