Term,CourseID,Course,Subject,CourseDescr,MaxUnits,AcadCareer,Component,AcadGroup,TotalCapacity,EnrlTotal,WLCapacity,WLTotal,TotalSections
2178,100117,AFRICAM 242,AFRICAM,SPEC TOP AFRCN LING,4.00,GRAD,LEC,CLS,15,0,5,0,1
2168,100143,AFRICAM  27AC,AFRICAM,LIVES/STRUG/MAJ CUL,3.00,UGRD,LEC,CLS,189,188,100,0,1
2178,100143,AFRICAM  27AC,AFRICAM,LIVES/STRUG/MAJ CUL,3.00,UGRD,LEC,CLS,191,185,50,0,1
2172,100144,AFRICAM  28AC,AFRICAM,GLOB & MIN AM COMM,3.00,UGRD,LEC,CLS,72,65,58,0,1
2182,100144,AFRICAM  28AC,AFRICAM,GLOB & MIN AM COMM,3.00,UGRD,LEC,CLS,75,65,58,0,1
2168,100146,AFRICAM 296,AFRICAM,DIR DISS RESEARCH,13.00,GRAD,IND,CLS,20,11,20,0,1
2172,100146,AFRICAM 296,AFRICAM,DIR DISS RESEARCH,13.00,GRAD,IND,CLS,15,10,15,0,1
2175,100146,AFRICAM 296,AFRICAM,DIR DISS RESEARCH,13.00,GRAD,IND,CLS,30,1,30,0,3
2178,100146,AFRICAM 296,AFRICAM,DIR DISS RESEARCH,13.00,GRAD,IND,CLS,20,12,20,0,1
2182,100146,AFRICAM 296,AFRICAM,DIR DISS RESEARCH,13.00,GRAD,IND,CLS,15,10,15,0,1
2185,100146,AFRICAM 296,AFRICAM,DIR DISS RESEARCH,13.00,GRAD,IND,CLS,30,0,30,0,3
2172,100147,AFRICAM 298,AFRICAM,MASTER'S EXAM PREP,4.00,GRAD,SEM,CLS,15,5,15,0,1
2182,100147,AFRICAM 298,AFRICAM,MASTER'S EXAM PREP,4.00,GRAD,SEM,CLS,15,0,15,0,1
2168,100148,AFRICAM 299,AFRICAM,IND STDY/RES,4.00,GRAD,IND,CLS,2,0,2,0,6
2172,100148,AFRICAM 299,AFRICAM,IND STDY/RES,4.00,GRAD,IND,CLS,26,2,24,0,6
2175,100148,AFRICAM 299,AFRICAM,IND STDY/RES,4.00,GRAD,IND,CLS,51,2,51,0,9
2178,100148,AFRICAM 299,AFRICAM,IND STDY/RES,4.00,GRAD,IND,CLS,6,4,2,0,6
2182,100148,AFRICAM 299,AFRICAM,IND STDY/RES,4.00,GRAD,IND,CLS,26,1,24,0,6
2185,100148,AFRICAM 299,AFRICAM,IND STDY/RES,4.00,GRAD,IND,CLS,51,0,51,0,9
2168,100149,AFRICAM  30A,AFRICAM,ELEMENTARY CHICHEWA,4.00,UGRD,LEC,CLS,10,1,5,0,1
2178,100149,AFRICAM  30A,AFRICAM,ELEMENTARY CHICHEWA,4.00,UGRD,REC,CLS,1,0,5,0,1
2172,100150,AFRICAM  30B,AFRICAM,ELEMENTARY CHICHEWA,4.00,UGRD,REC,CLS,10,1,15,0,1
2182,100150,AFRICAM  30B,AFRICAM,ELEMENTARY CHICHEWA,4.00,UGRD,REC,CLS,10,0,5,0,1
2168,100152,AFRICAM  31A,AFRICAM,INTERMED CHICHEWA,4.00,UGRD,LEC,CLS,15,0,5,0,1
2178,100152,AFRICAM  31A,AFRICAM,INTERMED CHICHEWA,4.00,UGRD,REC,CLS,10,0,0,0,1
2182,100156,AFRICAM  39B,AFRICAM,FRESH/SOPH SEMINAR,4.00,UGRD,SEM,CLS,30,22,0,0,1
2175,100158,AFRICAM  39D,AFRICAM,FRESH/SOPH SEMINAR,4.00,UGRD,SEM,CLS,28,13,5,0,1
2185,100158,AFRICAM  39D,AFRICAM,FRESH/SOPH SEMINAR,4.00,UGRD,SEM,CLS,28,0,5,0,1
2175,100159,AFRICAM  39E,AFRICAM,FRESH/SOPH SEMINAR,4.00,UGRD,SEM,CLS,20,16,5,0,1
2185,100159,AFRICAM  39E,AFRICAM,FRESH/SOPH SEMINAR,4.00,UGRD,SEM,CLS,20,0,5,0,1
2168,100181,AFRICAM   4A,AFRICAM,AFRICA:  HIST & CUL,4.00,UGRD,LEC,CLS,80,71,0,0,1
2175,100181,AFRICAM   4A,AFRICAM,AFRICA:  HIST & CUL,4.00,UGRD,LEC,CLS,35,16,15,0,1
2178,100181,AFRICAM   4A,AFRICAM,AFRICA:  HIST & CUL,4.00,UGRD,LEC,CLS,83,81,0,0,1
2185,100181,AFRICAM   4A,AFRICAM,AFRICA:  HIST & CUL,4.00,UGRD,LEC,CLS,35,5,15,0,1
2168,100183,AFRICAM   5A,AFRICAM,AFAM LIFE & CUL U S,4.00,UGRD,LEC,CLS,75,74,5,0,1
2178,100183,AFRICAM   5A,AFRICAM,AFAM LIFE & CUL U S,4.00,UGRD,LEC,CLS,102,98,5,0,1
2172,100184,AFRICAM   5B,AFRICAM,AFAM LIFE & CUL U S,4.00,UGRD,LEC,CLS,63,61,25,0,1
2182,100184,AFRICAM   5B,AFRICAM,AFAM LIFE & CUL U S,4.00,UGRD,LEC,CLS,65,66,0,0,1
2168,100185,AFRICAM 602,AFRICAM,IND STDY FOR DOC ST,12.00,GRAD,IND,CLS,15,10,15,0,1
2172,100185,AFRICAM 602,AFRICAM,IND STDY FOR DOC ST,12.00,GRAD,IND,CLS,12,12,10,0,1
2175,100185,AFRICAM 602,AFRICAM,IND STDY FOR DOC ST,12.00,GRAD,IND,CLS,10,0,10,0,2
2178,100185,AFRICAM 602,AFRICAM,IND STDY FOR DOC ST,12.00,GRAD,IND,CLS,15,10,15,0,1
2182,100185,AFRICAM 602,AFRICAM,IND STDY FOR DOC ST,12.00,GRAD,IND,CLS,13,11,10,0,1
2185,100185,AFRICAM 602,AFRICAM,IND STDY FOR DOC ST,12.00,GRAD,IND,CLS,10,0,10,0,2
2168,100193,AFRICAM  98,AFRICAM,DIRECTED GROUP STDY,4.00,UGRD,GRP,CLS,220,32,105,0,11
2172,100193,AFRICAM  98,AFRICAM,DIRECTED GROUP STDY,4.00,UGRD,GRP,CLS,372,0,299,0,16
2178,100193,AFRICAM  98,AFRICAM,DIRECTED GROUP STDY,4.00,UGRD,GRP,CLS,220,18,105,0,11
2182,100193,AFRICAM  98,AFRICAM,DIRECTED GROUP STDY,4.00,UGRD,GRP,CLS,384,7,299,0,16
2168,100194,AFRICAM  98BC,AFRICAM,DIRECTED GROUP STUD,1.00,UGRD,SEM,CLS,21,18,0,0,2
2172,100194,AFRICAM  98BC,AFRICAM,DIRECTED GROUP STUD,1.00,UGRD,SEM,CLS,20,16,20,1,2
2178,100194,AFRICAM  98BC,AFRICAM,DIRECTED GROUP STUD,1.00,UGRD,SEM,CLS,20,16,0,0,2
2182,100194,AFRICAM  98BC,AFRICAM,DIRECTED GROUP STUD,1.00,UGRD,SEM,CLS,20,4,10,0,2
2168,100195,AFRICAM  99,AFRICAM,SUPERV INDEP STUDY,4.00,UGRD,IND,CLS,0,0,0,0,1
2172,100195,AFRICAM  99,AFRICAM,SUPERV INDEP STUDY,4.00,UGRD,IND,CLS,4,0,4,0,2
2175,100195,AFRICAM  99,AFRICAM,SUPERV INDEP STUDY,4.00,UGRD,IND,CLS,5,0,5,0,1
2178,100195,AFRICAM  99,AFRICAM,SUPERV INDEP STUDY,4.00,UGRD,IND,CLS,0,0,0,0,1
2182,100195,AFRICAM  99,AFRICAM,SUPERV INDEP STUDY,4.00,UGRD,IND,CLS,4,0,4,0,2
2185,100195,AFRICAM  99,AFRICAM,SUPERV INDEP STUDY,4.00,UGRD,IND,CLS,5,0,5,0,1
2168,100200,AFRICAM    H195A,AFRICAM,SENIOR HONOR THESIS,3.00,UGRD,IND,CLS,11,2,11,0,1
2172,100200,AFRICAM    H195A,AFRICAM,SENIOR HONOR THESIS,3.00,UGRD,IND,CLS,5,1,1,0,2
2178,100200,AFRICAM    H195A,AFRICAM,SENIOR HONOR THESIS,3.00,UGRD,IND,CLS,11,0,11,0,1
2182,100200,AFRICAM    H195A,AFRICAM,SENIOR HONOR THESIS,3.00,UGRD,IND,CLS,5,0,1,0,2
2168,100201,AFRICAM    H195B,AFRICAM,SENIOR HONOR THESIS,3.00,UGRD,IND,CLS,2,0,2,0,1
2172,100201,AFRICAM    H195B,AFRICAM,SENIOR HONOR THESIS,3.00,UGRD,IND,CLS,5,1,0,0,1
2178,100201,AFRICAM    H195B,AFRICAM,SENIOR HONOR THESIS,3.00,UGRD,IND,CLS,2,0,2,0,1
2182,100201,AFRICAM    H195B,AFRICAM,SENIOR HONOR THESIS,3.00,UGRD,IND,CLS,5,0,0,0,1
2168,100207,AFRICAM    R1A,AFRICAM,FRESH COMPOSITION,4.00,UGRD,LEC,CLS,17,18,5,0,1
2172,100207,AFRICAM    R1A,AFRICAM,FRESH COMPOSITION,4.00,UGRD,LEC,CLS,17,17,17,1,1
2175,100207,AFRICAM    R1A,AFRICAM,FRESH COMPOSITION,4.00,UGRD,LEC,CLS,51,41,21,0,3
2178,100207,AFRICAM    R1A,AFRICAM,FRESH COMPOSITION,4.00,UGRD,LEC,CLS,17,17,5,0,1
2182,100207,AFRICAM    R1A,AFRICAM,FRESH COMPOSITION,4.00,UGRD,LEC,CLS,18,19,17,1,1
2185,100207,AFRICAM    R1A,AFRICAM,FRESH COMPOSITION,4.00,UGRD,LEC,CLS,52,5,11,0,3
2168,100209,AFRICAM    R1B,AFRICAM,FRESHMN COMPOSITION,4.00,UGRD,LEC,CLS,31,32,10,2,2
2172,100209,AFRICAM    R1B,AFRICAM,FRESHMN COMPOSITION,4.00,UGRD,LEC,CLS,17,16,10,0,1
2175,100209,AFRICAM    R1B,AFRICAM,FRESHMN COMPOSITION,4.00,UGRD,LEC,CLS,34,31,10,0,2
2178,100209,AFRICAM    R1B,AFRICAM,FRESHMN COMPOSITION,4.00,UGRD,LEC,CLS,35,35,15,0,2
2182,100209,AFRICAM    R1B,AFRICAM,FRESHMN COMPOSITION,4.00,UGRD,LEC,CLS,34,34,15,0,2
2185,100209,AFRICAM    R1B,AFRICAM,FRESHMN COMPOSITION,4.00,UGRD,LEC,CLS,51,27,10,2,3
2175,100223,AFRICAM    W111,AFRICAM,"RACE, CLASS & GEN",3.00,UGRD,WBL,CLS,150,109,0,0,1
2185,100223,AFRICAM    W111,AFRICAM,"RACE, CLASS & GEN",3.00,UGRD,WBL,CLS,200,62,0,0,1
2182,100321,AHMA 210,AHMA,AHMA SEMINAR,4.00,GRAD,SEM,CLS,10,8,0,0,1
2168,100323,AHMA 299,AHMA,SPECIAL STUDY,4.00,GRAD,IND,CLS,3,3,0,0,3
2172,100323,AHMA 299,AHMA,SPECIAL STUDY,4.00,GRAD,IND,CLS,4,4,0,0,3
2175,100323,AHMA 299,AHMA,SPECIAL STUDY,4.00,GRAD,IND,CLS,1,1,0,0,1
2178,100323,AHMA 299,AHMA,SPECIAL STUDY,4.00,GRAD,IND,CLS,12,13,0,0,10
2182,100323,AHMA 299,AHMA,SPECIAL STUDY,4.00,GRAD,IND,CLS,7,7,0,0,6
2168,100349,AMERSTD  10,AMERSTD,INTRO AMERICAN STDY,4.00,UGRD,LEC,CLS,50,53,0,0,1
2172,100349,AMERSTD  10,AMERSTD,INTRO AMERICAN STDY,4.00,UGRD,LEC,CLS,75,75,0,1,1
2175,100349,AMERSTD  10,AMERSTD,INTRO AMERICAN STDY,4.00,UGRD,LEC,CLS,60,11,0,0,1
2178,100349,AMERSTD  10,AMERSTD,INTRO AMERICAN STDY,4.00,UGRD,LEC,CLS,150,86,50,0,2
2182,100349,AMERSTD  10,AMERSTD,INTRO AMERICAN STDY,4.00,UGRD,LEC,CLS,82,81,50,0,1
2168,100351,AMERSTD 101,AMERSTD,US CULTURES IN TIME,4.00,UGRD,LEC,CLS,161,162,0,0,4
2172,100351,AMERSTD 101,AMERSTD,US CULTURES IN TIME,4.00,UGRD,LEC,CLS,98,96,60,0,1
2178,100351,AMERSTD 101,AMERSTD,US CULTURES IN TIME,4.00,UGRD,LEC,CLS,175,39,175,0,2
2182,100351,AMERSTD 101,AMERSTD,US CULTURES IN TIME,4.00,UGRD,LEC,CLS,100,60,100,0,2
2175,100352,AMERSTD 101AC,AMERSTD,US CULTURES IN TIME,4.00,UGRD,LEC,CLS,100,32,0,0,1
2178,100352,AMERSTD 101AC,AMERSTD,US CULTURES IN TIME,4.00,UGRD,LEC,CLS,100,89,100,0,1
2185,100352,AMERSTD 101AC,AMERSTD,US CULTURES IN TIME,4.00,UGRD,LEC,CLS,50,34,0,0,1
