CourseID,Term,TotalAttempts
101370,2182,155
101371,2168,354
101371,2172,322
101371,2175,256
101371,2178,392
101371,2182,172
101372,2168,1085
101372,2172,435
101372,2175,358
101372,2178,399
101372,2182,401
101373,2172,201
101373,2182,99
101375,2168,156
101375,2172,88
101375,2182,135
101376,2178,133
101377,2168,281
101377,2172,1138
101377,2178,298
101377,2182,377
101378,2178,75
101380,2168,198
101380,2178,150
101381,2168,112
101382,2172,72
101382,2182,82
101383,2172,111
101383,2182,94
101384,2168,282
101384,2172,226
101384,2178,261
101384,2182,331
101386,2172,107
101386,2182,99
101388,2168,142
101388,2172,495
101388,2178,169
101388,2182,160
101391,2168,459
101391,2178,295
101392,2172,260
101392,2175,60
101392,2178,117
101392,2182,88
101396,2168,133
101396,2178,223
101400,2168,148
101400,2178,109
101402,2168,87
101402,2178,140
101403,2182,87
101405,2178,471
101406,2172,164
101406,2175,208
101406,2182,283
101407,2168,102
101407,2172,2
101407,2178,75
101408,2168,139
101408,2172,131
101408,2178,121
101408,2182,106
101411,2168,84
101411,2172,91
101411,2178,72
101411,2182,154
101412,2168,56
101412,2172,78
101412,2178,133
101412,2182,84
101418,2168,467
101418,2175,206
101418,2178,660
101421,2168,40
101421,2178,36
101426,2175,75
101426,2178,611
101427,2168,19
101427,2172,20
101427,2178,7
101427,2182,12
101428,2168,27
101428,2172,13
101428,2178,29
101428,2182,15
101429,2168,13
101429,2172,8
101429,2178,9
101429,2182,5
101430,2182,9
101431,2172,2
101431,2178,4
101432,2168,7
101432,2172,7
101432,2178,23
101432,2182,7
101435,2168,1302
101435,2172,1009
101435,2175,518
101435,2178,1565
101435,2182,1312
101439,2168,35
101439,2172,12
101439,2182,10
101440,2168,16
101440,2172,10
101440,2182,11
101441,2168,9
101441,2172,17
101441,2178,3
101441,2182,17
101442,2168,1
101442,2178,7
101452,2178,734
101455,2172,359
101455,2182,229
101456,2172,34
101456,2182,83
101458,2168,240
101458,2178,239
101459,2168,151
101462,2168,1808
101462,2178,966
101465,2168,148
101465,2178,116
101467,2172,907
101467,2175,54
101467,2182,705
101468,2168,487
101468,2172,572
101468,2175,37
101468,2178,96
101468,2182,1
101469,2168,137
101472,2172,143
101472,2182,78
101473,2182,85
101474,2175,7
101474,2182,1
101475,2168,208
101475,2178,193
101477,2182,186
101479,2172,226
101479,2182,1
101483,2175,48
101484,2168,453
101484,2175,24
101484,2178,662
101487,2175,49
101488,2172,113
101488,2182,125
101490,2175,46
101505,2168,1
101505,2172,1
101506,2168,116
101506,2172,113
101506,2175,8
101506,2178,115
101506,2182,83
101507,2168,151
101507,2172,198
